ticker,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
APD,APD,Common Stock,Air Products and Chemicals Inc,"Air Products and Chemicals, Inc. (Ticker: APD) is a leading global manufacturer of industrial gases and chemicals, headquartered in Allentown, Pennsylvania. The company primarily serves a diverse range of industries, including energy, healthcare, and manufacturing, providing essential products such as oxygen, nitrogen, and hydrogen that facilitate a variety of applications. With a commitment to sustainability and innovation, Air Products focuses on developing cutting-edge technologies to reduce carbon emissions and enhance energy efficiency. Its strategic investments in clean energy initiatives position Air Products as a key player in the transition to a more sustainable energy future.",2969,NYSE,USD,USA,BASIC MATERIALS,SPECIALTY CHEMICALS,"1940 AIR PRODUCTS BOULEVARD, ALLENTOWN, PA, UNITED STATES, 18106-5500",https://www.airproducts.com,September,2025-06-30,58055336000,4369200000.0,37.05,6.69,69.81,7.12,0.0277,7.04,54.16,0.129,0.243,0.0451,0.0934,12057900000,3843000000,7.04,0.024,0.012,319.95,3,12,7,0,1,37.05,20.75,4.815,3.876,6.32,20.78,0.839,334.71,240.55,284.57,289.46,222554000,221434000,0.402,94.252,2025-11-10,2025-10-01
ABNB,ABNB,Common Stock,Airbnb Inc,"Airbnb, Inc. (ABNB) is a leading online marketplace based in San Francisco, California, that connects travelers with unique accommodations and experiences, including vacation rentals and tourism activities across the globe. Founded in 2008, the company has revolutionized the hospitality industry by offering diverse lodging options, from urban apartments to rural retreats. With a strong focus on enhancing user experience and leveraging cutting-edge technology, Airbnb continues to expand its market presence while fostering community connections and promoting local cultures. As the company navigates a post-pandemic recovery, it remains well-positioned to capitalize on growing travel demands and evolving consumer preferences.",1559720,NASDAQ,USD,USA,CONSUMER CYCLICAL,TRAVEL SERVICES,"888 BRANNAN STREET, SAN FRANCISCO, CA, UNITED STATES, 94103",https://www.airbnb.com,December,2025-06-30,72360133000,2654000000.0,28.85,1.508,12.7,,,4.12,18.59,0.227,0.198,0.0611,0.333,11580000000,9638000000,4.12,0.016,0.127,137.97,2,12,25,5,1,28.85,24.81,6.25,9.56,5.64,25.07,1.109,163.93,99.88,124.11,129.6,429080000,412696000,1.493,82.064,,
AKAM,AKAM,Common Stock,Akamai Technologies Inc,"Akamai Technologies, Inc. is a leading global provider of content delivery network (CDN) services, cybersecurity solutions, and cloud computing technologies. The company specializes in optimizing and securing digital experiences for businesses by leveraging its vast network of servers to deliver content quickly and efficiently while protecting against online threats. With a focus on enhancing website performance and securing sensitive data, Akamai serves a diverse clientele across various sectors, making it a pivotal player in the increasingly digital and data-driven economy. Its innovative technologies and strategic partnerships position Akamai as an essential ally for enterprises looking to navigate the complexities of cloud-based services and cybersecurity.",1086222,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"145 BROADWAY, CAMBRIDGE, MA, UNITED STATES, 02142",https://www.akamai.com,December,2025-06-30,10581853000,1150509000.0,26.08,0.671,30.06,,,2.83,27.43,0.104,0.149,0.0381,0.0921,4083251000,2414609000,2.83,-0.174,0.065,95.2,2,10,8,3,1,26.08,11.07,2.591,2.504,3.793,12.21,0.756,106.8,67.51,76.12,81.51,143386000,140151000,1.969,98.531,,
ALB,ALB,Common Stock,Albemarle Corp,"Albemarle Corporation, headquartered in Charlotte, North Carolina, is a leading global specialty chemicals company recognized for its innovative solutions across lithium, bromine, and refining catalysts. With a strong focus on sustainable practices, Albemarle plays a pivotal role in the electric vehicle and energy storage industries through its production of high-quality lithium compounds. The company is well-positioned to capitalize on the growing demand for clean energy technologies, making it a compelling investment opportunity for institutional investors seeking exposure to the transition toward sustainable energy solutions.",915913,NYSE,USD,USA,BASIC MATERIALS,SPECIALTY CHEMICALS,"4250 CONGRESS STREET, CHARLOTTE, NC, UNITED STATES, 28209",https://www.albemarle.com,December,2025-06-30,11337572000,473204000.0,,4.548,68.03,1.62,0.018,-9.33,42.46,-0.186,0.0415,-0.0064,-0.0811,4993278000,407654000,-9.33,-0.662,-0.07,88.47,1,6,16,2,0,-,72.99,2.271,1.288,2.895,22.45,1.657,111.49,48.84,81.61,73.71,117683000,117110000,0.407,98.746,2025-10-01,2025-09-12
ARE,ARE,Common Stock,Alexandria Real Estate Equities Inc,"Alexandria Real Estate Equities, Inc. (ARE) is a leading American real estate investment trust (REIT) specializing in the acquisition, development, and management of high-quality office and laboratory spaces primarily serving the life sciences and technology sectors. With a robust portfolio strategically located in key innovation clusters, the company is well-positioned to benefit from the growing demand for state-of-the-art facilities that support research and development activities. Alexandria’s commitment to sustainability and innovation further enhances its appeal to institutional investors seeking exposure to the burgeoning life sciences market.",1035443,NYSE,USD,USA,REAL ESTATE,REIT - OFFICE,"26 NORTH EUCLID AVENUE, PASADENA, CA, UNITED STATES, 91101-6104",https://www.are.com,December,2025-06-30,12619699000,1978751000.0,,844.2,100.94,5.26,0.0712,-0.13,18.09,-0.0033,0.204,0.012,0.0078,3097996000,2173471000,-0.13,6.48,-0.018,96.79,1,5,8,0,0,-,16.69,4.074,0.832,9.08,16.21,1.319,115.77,65.12,80.63,84.04,170721000,154143000,0.934,95.693,2025-10-15,2025-09-30
ALGN,ALGN,Common Stock,Align Technology Inc,"Align Technology Inc. is a leading innovator in the dental industry, renowned for its pioneering development of Invisalign clear aligners and advanced 3D digital scanning technology. Headquartered in San Jose, California, the company has positioned itself at the forefront of orthopedic advancements, catering to a growing global demand for aesthetically pleasing orthodontic solutions. With a robust commitment to research and development, Align Technology continually enhances its product offerings to meet the evolving needs of dental professionals and consumers alike, driving sustained growth and market leadership.",1097149,NASDAQ,USD,USA,HEALTHCARE,MEDICAL INSTRUMENTS & SUPPLIES,"410 NORTH SCOTTSDALE ROAD, TEMPE, AZ, UNITED STATES, 85288",https://www.aligntech.com,December,2025-06-30,9389883000,799243000.0,21.88,0.763,53.98,,,5.92,53.71,0.11,0.161,0.065,0.114,3964802000,2772770000,5.92,0.342,-0.016,177.43,2,8,6,0,1,21.88,11.98,2.368,2.384,2.157,10.78,1.704,246.19,122.0,135.36,174.91,72486000,67961000,6.691,94.461,,
ALLE,ALLE,Common Stock,Allegion PLC,"Allegion PLC is a leading global provider of security products, headquartered in Dublin, Ireland, with a strong operational presence in North America and beyond. The company offers a diverse portfolio of solutions for residential and commercial applications, featuring renowned brands such as Schlage, LCN, and Von Duprin. With a focus on innovation and quality, Allegion is committed to enhancing safety and security in various environments, driving growth through strategic investments in product development and market expansion.",1579241,NYSE,USD,USA,INDUSTRIALS,SECURITY & PROTECTION SERVICES,"IVEAGH COURT, DUBLIN, IRELAND, D02 VH94",https://www.allegion.com,December,2025-06-30,14910682000,934000000.0,24.09,1.996,20.81,1.98,0.0114,7.21,44.79,0.162,0.215,0.107,0.39,3876600000,1737800000,7.21,0.045,0.058,178.45,1,2,9,0,0,24.09,20.37,3.846,8.54,4.3,17.41,1.078,180.34,115.8,172.18,145.28,85847000,84757000,1.125,99.357,2025-09-30,2025-09-15
LNT,LNT,Common Stock,Alliant Energy Corp,"Alliant Energy Corporation (LNT), headquartered in Madison, Wisconsin, is a prominent public utility holding company that serves over 1.4 million customers across Iowa and Wisconsin. The company is engaged in the generation, transmission, and distribution of electric energy, as well as the distribution of natural gas. With a strong commitment to sustainable energy solutions, Alliant Energy is investing in renewable energy projects to support its long-term goals of reducing carbon emissions and enhancing energy efficiency. The company's diversified energy portfolio and strategic initiatives position it well to navigate the evolving energy landscape while providing reliable service to its customers.",352541,NASDAQ,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"4902 NORTH BILTMORE LANE, MADISON, WI, UNITED STATES, 53718",https://www.alliantenergy.com,December,2025-06-30,17415381000,1813000000.0,20.88,1.976,27.8,1.975,0.0292,3.24,16.14,0.201,0.232,0.0273,0.119,4144000000,1952000000,3.24,0.996,0.075,69.7,0,5,5,0,1,20.88,19.38,4.203,2.386,6.76,14.28,0.54,68.52,54.71,65.59,62.49,257054000,256232000,0.231,84.113,2025-08-15,2025-07-31
ALL,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is a leading American insurance provider headquartered in Northfield Township, Illinois, specializing in a diverse range of insurance products including auto, home, life, and commercial insurance. With a strong commitment to customer service, Allstate leverages advanced technology and data analytics to enhance risk assessment and claims processing, positioning itself as a key player in the evolving insurance landscape. The company is recognized for its robust financial strength and innovative solutions aimed at helping individuals and businesses manage risk effectively. Through strategic initiatives and a focus on sustainability, Allstate continues to expand its market presence while maintaining a resilient operational framework.",899051,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - PROPERTY & CASUALTY,"3100 SANDERS ROAD, NORTHBROOK, IL, UNITED STATES, 60062",https://www.allstate.com,December,2025-06-30,54187237000,7423000000.0,9.67,1.289,83.4,3.84,0.0187,21.27,250.02,0.0879,0.116,0.0383,0.27,66218000000,16284000000,21.27,5.87,0.058,232.85,4,13,4,1,1,9.67,9.15,0.818,2.513,0.982,-,0.377,215.7,173.88,206.01,199.06,263505000,261700000,0.581,81.469,2025-10-01,2025-08-29
GOOGL,GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2025-06-30,2866073305000,140840993000.0,26.03,1.671,29.98,1.01,0.0043,9.38,30.43,0.311,0.324,0.168,0.348,371399000000,218911998000,9.38,0.223,0.138,248.03,12,42,11,0,0,26.03,23.31,7.72,8.19,7.85,18.48,1.0,256.0,140.23,226.94,188.0,5817000000,10836345000,0.26,80.892,2025-09-15,2025-09-08
GOOG,GOOG,Common Stock,Alphabet Inc Class C,"Alphabet Inc. (GOOG) is a leading American multinational conglomerate based in Mountain View, California, formed through the restructuring of Google in October 2015. As the parent company of Google and various other subsidiaries, Alphabet diversifies its technological interests across search engine services, advertising, cloud computing, consumer electronics, and artificial intelligence. It is recognized as one of the largest technology firms globally by revenue, reinforcing its status as a pivotal player in shaping the digital landscape. With its co-founders maintaining significant roles, Alphabet continues to innovate and expand its portfolio in line with emerging technology trends.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2025-06-30,2866073043000,140840993000.0,26.11,1.676,29.98,1.01,0.0043,9.37,30.43,0.311,0.324,0.168,0.348,371399000000,218911998000,9.37,0.223,0.138,242.21,12,43,11,0,0,26.11,23.36,7.72,8.21,7.85,18.48,1.0,256.7,142.36,227.59,189.32,5430000000,10836345000,6.69,60.919,2025-09-15,2025-09-08
MO,MO,Common Stock,Altria Group,"Altria Group, Inc. (previously known as Philip Morris Companies, Inc.) is an American corporation and one of the world's largest producers and marketers of tobacco, cigarettes and related products. It operates worldwide and is headquartered in unincorporated Henrico County, Virginia, just outside the city of Richmond.",764180,NYSE,USD,USA,CONSUMER DEFENSIVE,TOBACCO,"6601 WEST BROAD STREET, RICHMOND, VA, UNITED STATES, 23230",https://www.altria.com,December,2025-06-30,109108912000,12573000000.0,12.56,4.015,-1.937,4.08,0.0613,5.17,11.97,0.434,0.626,0.23,0.0,20259000000,14532000000,5.17,-0.362,0.002,63.83,0,4,9,1,1,12.56,11.74,5.39,27.3,6.61,11.12,0.572,67.71,45.54,65.68,59.13,1679891000,1676430000,0.098,62.157,2025-10-10,2025-09-15
AMZN,AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is a leading American multinational technology company renowned for its diverse operations in e-commerce, cloud computing, digital streaming, and artificial intelligence. As one of the Big Five in the U.S. information technology sector, alongside notable peers like Google and Microsoft, Amazon significantly shapes both economic trends and cultural dynamics globally. With its robust Amazon Web Services (AWS) cloud platform and a comprehensive e-commerce ecosystem, the company has established itself as a transformative force and the world's most valuable brand, driving innovation and consumer engagement on an unprecedented scale.",1018724,NASDAQ,USD,USA,CONSUMER CYCLICAL,INTERNET RETAIL,"410 TERRY AVENUE NORTH, SEATTLE, WA, UNITED STATES, 98109-5210",https://www.aboutamazon.com,December,2025-06-30,2347027137000,133831999000.0,33.55,1.972,31.31,,,6.56,63.37,0.105,0.114,0.077,0.248,670038032000,332382994000,6.56,0.333,0.133,266.56,14,51,3,0,0,33.55,28.57,3.503,7.11,3.601,16.79,1.281,242.52,161.38,225.76,214.45,10664912000,9644707000,8.445,66.332,,
AMCR,AMCR,Common Stock,Amcor PLC,"Amcor plc is a leading global packaging company, headquartered in Australia and operating across the United States and the UK. Specializing in both flexible and rigid packaging solutions, Amcor serves a diverse array of industries including food, beverage, pharmaceuticals, and personal care. With a strong commitment to sustainability, the company focuses on developing innovative packaging products that enhance product shelf life while minimizing environmental impact. Amcor’s expertise and extensive portfolio position it as a critical partner for brands seeking high-quality packaging solutions in an evolving market.",1748790,NYSE,USD,USA,CONSUMER CYCLICAL,PACKAGING & CONTAINERS,"THURGAUERSTRASSE 34, ZURICH, SWITZERLAND, 8050",https://www.amcor.com,June,2025-06-30,18420711000,2037000000.0,24.94,0.522,5.09,0.51,0.0643,0.32,9.45,0.0341,0.0628,0.0307,0.066,15009000000,2834000000,0.32,0.053,0.438,10.54,3,5,4,0,0,24.94,10.39,1.227,1.62,2.211,18.77,0.719,10.78,7.81,8.5,9.28,2308360000,2294972000,0.219,68.968,2025-09-25,2025-09-05
AEE,AEE,Common Stock,Ameren Corp,"Ameren Corporation (AEE) is a leading utility holding company based in St. Louis, Missouri, specializing in the generation, transmission, and distribution of electricity and natural gas. Established through the merger of Union Electric Company and Central Illinois Public Service Company in 1997, Ameren serves millions of customers across Missouri and Illinois. The company is committed to enhancing the reliability of its energy services while pursuing sustainable and innovative solutions in renewable energy, contributing significantly to the advancement of clean energy initiatives in the Midwest. Ameren’s diverse portfolio and strategic focus on infrastructure modernization position it favorably for future growth in the evolving energy landscape.",1002910,NYSE,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"1901 CHOUTEAU AVENUE, SAINT LOUIS, MO, UNITED STATES, 63103",https://www.amereninvestors.com,December,2025-06-30,28003652000,3301000000.0,22.76,2.396,45.54,2.76,0.0266,4.55,30.23,0.151,0.22,0.0268,0.102,8119000000,3787000000,4.55,0.044,0.322,106.92,0,7,5,0,1,22.76,19.3,3.449,2.26,5.67,13.09,0.494,105.67,82.82,101.34,97.77,270410000,269147000,0.279,87.184,2025-12-31,2025-12-09
AEP,AEP,Common Stock,American Electric Power Co Inc,"American Electric Power Co Inc (AEP) is a leading investor-owned utility in the United States, serving over five million customers across 11 states. With a diverse generation portfolio that includes renewable energy sources, AEP is committed to advancing sustainable energy solutions while ensuring reliable service. The company is focused on modernizing its infrastructure and expanding its clean energy initiatives to meet increasing demand and regulatory requirements. AEP’s strategic investments and operational efficiency position it well for long-term growth in the evolving energy landscape.",4904,NASDAQ,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"1 RIVERSIDE PLAZA, COLUMBUS, OH, UNITED STATES, 43215-2373",https://www.aep.com,December,2025-06-30,62464029000,8572600000.0,17.13,2.346,55.88,3.67,0.0314,6.82,38.76,0.177,0.282,0.0316,0.13,20666700000,10077100000,6.82,2.578,0.111,116.63,2,4,11,1,0,17.13,18.12,3.029,2.031,5.17,11.87,0.464,119.06,87.57,111.5,105.05,534795000,533720000,0.027,85.075,2025-09-10,2025-08-08
